# Constructed from biom file
#OTU ID	Dairy1	Dairy10	Dairy100	Dairy11	Dairy12	Dairy13	Dairy14	Dairy15	Dairy16	Dairy17	Dairy18	Dairy19	Dairy20	Dairy21	Dairy22	Dairy23	Dairy24	Dairy25	Dairy26	Dairy27	Dairy28	Dairy29	Dairy3	Dairy30	Dairy31	Dairy33	Dairy34	Dairy35	Dairy36	Dairy37	Dairy38	Dairy39	Dairy4	Dairy40	Dairy41	Dairy42	Dairy43	Dairy44	Dairy45	Dairy46	Dairy47	Dairy48	Dairy49	Dairy5	Dairy50	Dairy51	Dairy52	Dairy53	Dairy54	Dairy55	Dairy56	Dairy57	Dairy58	Dairy59	Dairy6	Dairy60	Dairy61	Dairy62	Dairy63	Dairy65	Dairy66	Dairy67	Dairy68	Dairy69	Dairy7	Dairy70	Dairy71	Dairy72	Dairy73	Dairy74	Dairy75	Dairy77	Dairy78	Dairy79	Dairy8	Dairy80	Dairy81	Dairy82	Dairy83	Dairy84	Dairy85	Dairy86	Dairy87	Dairy88	Dairy89	Dairy9	Dairy90	Dairy91	Dairy92	Dairy93	Dairy94	Dairy95	Dairy96	Dairy97	Dairy98	Dairy99
ASV182	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	95	0	0	0	0	0	17	167	0	28	0	50	0	0	0	0	13	0	21	0	0	8	34	0	0	0	9	10	0	0	0	0	0	0	0	0	14	0	11	21	29	0	0	0	0	0	0	0	0	16	0	0	0	9	9	0	0
ASV5814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4312	0	0	0	8967	21884	39	0	0	0	0	0	0	0	0	103	0	0	0	0	0	0	0	19380	0	0	0	14579	0	0	0	0	3789	7	0	0	0	0	0	0	0	0	15	0	9	0	0	0	0	0	0	214	0	0	0	0
ASV7627	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	237	0	0	0
ASV10741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	509	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
ASV11377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	33	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV7549	0	0	0	0	0	0	0	0	0	34	0	6	8	0	7	0	0	0	22	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	7	578	40	0	0	0	0	0	0	6	0	34	11	23	0	0	0	0	0	6	0	14	0	13	0	5	0	0	6	0	0	6	22	0	0	0	0	0	0	0	124	182	0	13	18	10	0	0	0	0	0	0	119	16	0	0	0	0	0
ASV6452	0	0	2275	0	245	0	42	0	0	0	770	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1413	0	0	0	0	0	0	0	63	0	141	0	0	0	93	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	169	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	229	0	0	0	0
ASV8084	0	0	0	0	0	0	2	47	0	0	326	509	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	16	0	0	0	0	0	0	0	93	3	2149	0	119	539	5	0	0	0	769	837	96	182	0	0	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0
ASV12013	0	0	0	0	0	88	5017	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	53	0	7	0	0	0	0	0	38	0	413	33	0	13	0	0	0	40	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	68	15	0	0	25	128	0	0	0	0	0	17	0	8	0	0	0	12	37	5	0	29	10	0	0	0	0	0	0	0	0
ASV9114	1159	0	42	0	0	105	0	154	0	0	0	4	40	0	0	0	0	0	0	0	0	0	515	0	23	0	304	11	16	0	0	29	101	57	27	0	6	245	0	18	0	72	0	0	6	25	26	0	124	0	0	0	0	0	1861	0	52	0	39	0	212	47	0	8	147	0	0	0	0	0	61	12	0	0	0	22	0	86	137	600	225	88	0	37	0	34	47	57	0	0	51	0	9	0	0	0
ASV3082	0	0	0	0	17	35	371	4	0	59	0	570	0	0	0	0	8	0	567	0	2705	2	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	4589	0	0	0	13	0	0	0	0	28	0	0	0	40	0	0	0	0	0	0	43	0	0	130	0	0	0	0	0	0	0	0	3778	0	0	13	0	107	0	44	0	0
ASV4010	3354	0	0	0	59	78	9	115	0	0	0	0	77	14	0	0	8	0	37	0	43	0	262	41	0	0	0	0	11	0	16	0	91	0	0	0	0	41	0	0	0	0	0	0	0	0	60	0	0	46	23	34	110	35	1169	0	0	35	35	28	87	60	13	0	153	9	33	29	0	17	0	0	47	34	0	0	0	0	58	0	0	0	0	0	0	65	0	0	0	0	0	48	0	0	0	0
ASV2102	0	0	0	0	0	0	0	0	0	0	133	44	78	11	14	22	24	25	56	0	42	0	55	0	0	0	0	0	0	0	20	0	0	0	26	11	93	293	64	0	0	208	41	0	0	84	194	7	106	11	92	42	59	41	0	106	71	21	71	0	212	205	32	61	0	91	49	66	5	56	29	20	0	0	0	0	0	297	313	339	59	362	73	55	42	0	54	18	0	0	0	277	89	0	0	0
ASV6463	0	0	0	0	0	25	0	0	14	31	39	0	33	0	30	63	18	55	46	0	45	34	0	22	125	0	0	0	0	0	0	0	0	0	25	11	14	96	33	0	0	30	23	0	0	14	25	0	158	0	26	27	0	0	0	0	0	32	39	0	59	130	24	26	0	64	18	45	0	44	53	0	0	0	0	0	0	106	258	101	37	44	0	0	0	0	12	0	0	16	0	33	45	0	0	0
ASV2560	0	0	19	0	0	39	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	120	61	0	104	177	49	0	0	86	326	100	150	64	0	0	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230	0	0	0	130	0	30	24	408	59	50	0	0
ASV2521	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	19	0	35	0	0	0	15	0	20	0	10	0	110	18	0	31	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	6	0	0	0	0	0	11	4	0
