,Name,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,Name16S,quality
Beef519,Beef 519,Healthy,IN,Farm3,10/28/20,103.6,71207305.46,5.917064934,826161.4657,1,5.902652285,1,799194.13,5.976924674,1,948253.98,5.596999451,1,395366.12,Beef519,Clean
Beef52,Beef 52,BRD,TX,Farm1,3/18/21,105.1,543372008.4,7.616368422,41339804.88,1,5.76535137,1,582574.3642,2.230448921,0,170,4.287959341,1,19407.04178,Beef52,Clean
Beef520,Beef 520,BRD,IN,Farm3,10/28/20,107.4,35873400.24,7.029578493,10704798.4,1,6.503633144,1,3188843.05,4.775477336,1,59631.72,4.804112024,1,63695.98,Beef520,Clean
Beef521,Beef 521,Healthy,IN,Farm3,10/28/20,102.5,40663944.05,3.283195397,1919.53218,1,4.559075646,1,36230.61,2.230448921,0,170,5.60985542,1,407244.68,Beef521,Clean
Beef522,Beef 522,BRD,IN,Farm3,10/28/20,104.9,20785446.07,2.937214288,865.394814,1,4.969362228,1,93188.48,5.413104371,1,258883.5,5.373834689,1,236501.93,Beef522,Clean
Beef523,Beef 523,Healthy,IN,Farm3,10/28/20,103.4,31104071.4,2.49225804,310.6404737,1,2.826074803,0,670,2.230448921,0,170,2.278753601,0,190,Beef523,Dirty
Beef524,Beef 524,Healthy,IN,Farm3,10/28/20,NA,1140970636,5.138361445,137518.6009,1,2.826074803,0,670,2.230448921,0,170,5.790698307,1,617587.23,Beef524,Dirty
Beef525,Beef 525,BRD,IN,Farm3,10/28/20,106.2,61842992.77,7.084327563,12143043.84,1,5.892741281,1,781162.31,4.55160234,1,35612.49,6.104916096,1,1273257.07,Beef525,Dirty
Beef526,Beef 526,BRD,IN,Farm3,10/28/20,106,248682454.3,6.33800682,2177743.973,1,4.389414536,1,24514.02,4.953144723,1,89772.79,6.059891378,1,1147866.49,Beef526,Dirty
Beef527,Beef 527,Healthy,IN,Farm3,10/28/20,103.3,17757361.45,2.278753601,190,0,2.826074803,0,670,2.230448921,0,170,5.745914714,1,557076.34,Beef527,Dirty
