Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,copy_log,copies,pre_abs,AveMean,Bacteria
Dairy 247,BRD,TX,Full Circle,calf,1/1/22,101.7,7000749.58,5.876922662,753221.4194,1,-180920.2784,H.somni
Dairy 248,BRD,TX,Full Circle,calf,1/1/22,101.8,20020994.03,5.954574272,900687.7835,1,-328386.6425,H.somni
Dairy 249,Healthy,TX,Full Circle,calf,1/1/22,101.6,2361256.45,4.015910519,10373.14669,1,333947.604,H.somni
Dairy 250,BRD,TX,Full Circle,calf,1/1/22,101.9,11561521.59,6.211721012,1628249.718,1,-1055948.577,H.somni
Dairy 251,BRD,TX,Full Circle,calf,1/1/22,101.4,858451.19,5.957015123,905764.1405,1,-333462.9995,H.somni
Dairy 252,Healthy,TX,Full Circle,calf,1/1/22,101.9,51368531.41,5.8128821,649953.221,1,-305632.4703,H.somni
Dairy 253,Healthy,TX,Full Circle,calf,1/1/22,102.2,3557451.29,4.054578286,11339.09219,1,332981.6585,H.somni
Dairy 254,BRD,TX,Full Circle,calf,1/1/22,102.6,1263484.41,3.904767314,8030.957248,1,564270.1837,H.somni
Dairy 255,Healthy,TX,Full Circle,calf,1/1/22,101.7,36041376.31,4.629047279,42564.47481,1,301756.2759,H.somni
Dairy 256,BRD,TX,Full Circle,calf,1/1/22,102,2813741.5,5.114063375,130035.932,1,442265.209,H.somni
Dairy 257,BRD,TX,Full Circle,calf,1/1/22,102.5,305768587.2,7.044319102,11074371.85,1,-10502070.71,H.somni
Dairy 258,Healthy,TX,Full Circle,calf,1/1/22,103.1,2395705.91,6.558465475,3617974.277,1,-3273653.526,H.somni
Dairy 259,Healthy,TX,Full Circle,calf,1/1/22,102.4,31606365.67,6.015897591,1037283.789,1,-692963.0383,H.somni
Dairy 260,BRD,TX,Full Circle,calf,1/1/22,105,47980178.94,7.091105114,12334033.23,1,-11761732.09,H.somni
Dairy 285,Healthy,TX,Full Circle,calf,1/1/22,102.2,3498858.04,3.381368661,2406.404665,1,341914.3461,H.somni
Dairy 286,BRD,TX,Full Circle,calf,1/1/22,102.3,27400127.77,3.68974209,4894.880462,1,567406.2605,H.somni
Dairy 287,Healthy,TX,Full Circle,calf,1/1/22,102.2,3688539.15,3.472508113,2968.302196,1,341352.4485,H.somni
Dairy 288,BRD,TX,Full Circle,calf,1/1/22,102.2,10055396.58,3.74779181,5594.893324,1,566706.2476,H.somni
Dairy 289,Healthy,TX,Full Circle,calf,1/1/22,102.2,17707878.4,2.278753601,190,0,344130.7507,H.somni
Dairy 290,BRD,TX,Full Circle,calf,1/1/22,101.2,185214285.2,2.925910585,843.1611443,1,571457.9798,H.somni
Dairy 291,Healthy,TX,Full Circle,calf,1/1/22,102.9,41651198.16,6.448132318,2806288.507,1,-2461967.756,H.somni
Dairy 292,BRD,TX,Full Circle,calf,1/1/22,101.8,4119073.23,3.658000175,4549.882431,1,567751.2585,H.somni
Dairy 293,Healthy,TX,Full Circle,calf,1/1/22,101.3,18210507.83,3.834340569,6828.739861,1,337492.0109,H.somni
Dairy 294,BRD,TX,Full Circle,calf,1/1/22,101.6,468804397.5,3.329782901,2136.893612,1,570164.2474,H.somni
Dairy 295,BRD,TX,Full Circle,calf,1/1/22,102,19902943.76,4.107896338,12820.2454,1,559480.8956,H.somni
Dairy 296,BRD,TX,Full Circle,calf,1/1/22,102.5,14872736.14,3.055598508,1136.576071,1,571164.5649,H.somni
Dairy 298,Healthy,TX,Full Circle,calf,1/1/22,102.2,4323472.87,3.215820831,1643.693473,1,342677.0573,H.somni
Dairy 299,Healthy,TX,Full Circle,calf,1/1/22,102.8,25512726.49,3.017166851,1040.319769,1,343280.431,H.somni
Dairy 300,BRD,TX,Full Circle,calf,1/1/22,102.4,7295372.52,2.278753601,190,0,572111.141,H.somni
Dairy 302,Healthy,TX,Full Circle,calf,1/1/22,101.5,96945146.13,3.432120888,2704.711127,1,341616.0396,H.somni
Dairy 303,BRD,TX,Full Circle,calf,1/1/22,101.2,980270157,3.274754558,1882.584842,1,570418.5561,H.somni
Dairy 304,BRD,TX,Full Circle,calf,1/1/22,102.1,195681287.2,3.775096432,5957.944207,1,566343.1968,H.somni
Dairy 305,Healthy,TX,Full Circle,calf,1/1/22,102.2,56900096.86,2.278753601,190,0,344130.7507,H.somni
