Name,Status,State,Farm,animal,Date of colleciton,RectaTemp,16S copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID
Dairy 300,BRD,TX,Farm1,calf,1/1/22,102.4,7295372.52,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy300
Dairy 302,Healthy,TX,Farm1,calf,1/1/22,101.5,96945146.13,3.432120888,2704.711127,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy302
Dairy 303,BRD,TX,Farm1,calf,1/1/22,101.2,980270157,3.274754558,1882.584842,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy303
Dairy 304,BRD,TX,Farm1,calf,1/1/22,102.1,195681287.2,3.775096432,5957.944207,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy304
Dairy 305,Healthy,TX,Farm1,calf,1/1/22,102.2,56900096.86,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,6.279655177,1903948.412,1,Dairy305
Dairy 306,Healthy,TX,Farm1,calf,1/1/22,102.2,25588555.44,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,4.679643753,47823.76387,1,Dairy306
Dairy 307,BRD,TX,Farm1,calf,1/1/22,104.3,230,3.401494606,2520.545876,1,2.826074803,670,0,2.230448921,170,0,7.781650066,60485331.67,1,Dairy307
Dairy 308,Healthy,TX,Farm1,calf,1/1/22,102.2,331355406.3,4.466186101,29254.05682,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy308
Dairy 309,BRD,TX,Farm1,calf,1/1/22,101.7,30952416.47,3.791858237,6192.389091,1,2.826074803,670,0,2.230448921,170,0,3.218694716,1654.606461,1,Dairy309
Dairy 310,Healthy,TX,Farm1,calf,1/1/22,100.5,51889054702,3.667214148,4647.443819,1,2.826074803,670,0,2.230448921,170,0,7.199322844,15824239.39,1,Dairy310
Dairy 311,BRD,TX,Farm1,calf,1/1/22,102.3,4233266.1,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy311
Dairy 312,Healthy,TX,Farm1,calf,1/1/22,102.2,41210229.74,3.214643946,1639.245297,1,2.826074803,670,0,2.230448921,170,0,5.857404337,720119.1109,1,Dairy312
Dairy 313,BRD,TX,Farm1,calf,1/1/22,102.5,179242264.7,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy313
Dairy 314,BRD,TX,Farm1,calf,1/1/22,101.1,3697683.68,3.064096426,1159.034666,1,2.826074803,670,0,3.783360044,6072.395415,1,2.278753601,190,0,Dairy314
Dairy 315,Healthy,TX,Farm1,calf,1/1/22,101.6,273132440.1,4.987930241,97259.09878,1,2.826074803,670,0,2.230448921,170,0,4.053976754,11323.39752,1,Dairy315
Dairy261,Healthy,TX,Farm1,calf,1/1/22,102.7,364984.13,4.915345023,82289.61351,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy261
Dairy262,BRD,TX,Farm1,calf,1/1/22,102.7,32633739.58,7.637160927,43367154.48,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy262
Dairy263,Healthy,TX,Farm1,calf,1/1/22,101.8,1329423.04,4.35272807,22528.28178,1,2.826074803,670,0,3.82966071,6755.549952,1,4.36623291,23239.82801,1,Dairy263
Dairy264,BRD,TX,Farm1,calf,1/1/22,102.8,90585267.2,6.276436997,1889892.045,1,2.826074803,670,0,4.203811193,15988.62781,1,5.06461601,116042.215,1,Dairy264
Dairy265,Healthy,TX,Farm1,calf,1/1/22,103,13764700.68,5.881943622,761980.0869,1,2.826074803,670,0,4.186709528,15371.26212,1,4.629017618,42561.5679,1,Dairy265
Dairy266,Healthy,TX,Farm1,calf,1/1/22,102.1,2330855154,6.969186332,9315074.479,1,2.826074803,670,0,4.48538265,30576.13944,1,5.074791661,118793.2217,1,Dairy266
Dairy267,BRD,TX,Farm1,calf,1/1/22,104.9,9492829.62,4.797586882,62746.12096,1,2.826074803,670,0,4.21787157,16514.73349,1,6.209938269,1621579.59,1,Dairy267
Dairy268,Healthy,TX,Farm1,calf,1/1/22,101.9,2740303.3,4.852788763,71250.63891,1,2.826074803,670,0,4.242707953,17486.70377,1,4.960973121,91405.66678,1,Dairy268
Dairy269,Healthy,TX,Farm1,calf,1/1/22,101.7,901424.82,3.77449804,5949.740714,1,2.826074803,670,0,2.230448921,170,0,3.990709862,9788.358384,1,Dairy269
Dairy270,BRD,TX,Farm1,calf,1/1/22,102.3,8406210.85,3.92708195,8454.383625,1,2.826074803,670,0,4.810445289,64631.65683,1,4.632255053,42880.02728,1,Dairy270
Dairy271,BRD,TX,Farm1,calf,1/1/22,104.8,6980938025,2.278753601,190,0,2.826074803,670,0,4.543339944,34941.37121,1,2.278753601,190,0,Dairy271
Dairy272,Healthy,TX,Farm1,calf,1/1/22,102.6,4417345.45,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,6.438921783,2747399.299,1,Dairy272
Dairy273,BRD,TX,Farm1,calf,1/1/22,103.8,49822022.77,4.152154943,14195.63887,1,2.826074803,670,0,2.230448921,170,0,3.785745119,6105.835779,1,Dairy273
Dairy274,Healthy,TX,Farm1,calf,1/1/22,102.2,36480.63,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy274
Dairy275,Healthy,TX,Farm1,calf,1/1/22,102.9,231095.36,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy275
Dairy276,BRD,TX,Farm1,calf,1/1/22,102.5,232636300.1,3.336494337,2170.172904,1,2.826074803,670,0,2.230448921,170,0,3.68456317,4836.85613,1,Dairy276
Dairy277,BRD,TX,Farm1,calf,1/1/22,102.7,2225205507,3.19205022,1556.145567,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy277
Dairy278,Healthy,TX,Farm1,calf,1/1/22,102.2,55268225.83,3.32720906,2124.266794,1,3.492861506,3110.72419,1,2.230448921,170,0,2.278753601,190,0,Dairy278
Dairy279,Healthy,TX,Farm1,calf,1/1/22,103.2,41520921.17,3.399707408,2510.194701,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy279
Dairy280,BRD,TX,Farm1,calf,1/1/22,103.8,24797248.68,4.168856718,14752.19749,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy280
Dairy281,Healthy,TX,Farm1,calf,1/1/22,102.1,7787709.15,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy281
Dairy282,BRD,TX,Farm1,calf,1/1/22,103,16626636.27,3.166109085,1465.916,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy282
Dairy283,BRD,TX,Farm1,calf,1/1/22,103,688406967.7,3.26657111,1847.443267,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy283
Dairy284,Healthy,TX,Farm1,calf,1/1/22,102.2,149815139.7,3.154523776,1427.327969,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy284
Dairy 317,Healthy,CA,Farm2,calf,07/14-15/2022,104.8,40085857.12,5.82361878,666221.7081,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy317
Dairy 318,Healthy,CA,Farm2,calf,07/14-15/2022,102.1,28692176.66,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,3.142511878,1388.391282,1,Dairy318
Dairy 320,Healthy,CA,Farm2,calf,07/14-15/2022,102.3,36452185.67,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy320
Dairy 321,Healthy,CA,Farm2,calf,07/14-15/2022,102.2,1768482158,3.183889996,1527.179185,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy321
Dairy 322,Healthy,CA,Farm2,calf,07/14-15/2022,101.7,100649804.7,4.931406536,85389.90603,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy322
Dairy 323,Healthy,CA,Farm2,calf,07/14-15/2022,103,96534386.67,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,6.993832631,9858994.641,1,Dairy323
Dairy 324,Healthy,CA,Farm2,calf,07/14-15/2022,102.1,61129340.84,5.424319183,265655.7272,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy324
Dairy 325,Healthy,CA,Farm2,calf,07/14-15/2022,102.4,67080263.87,4.283471525,19207.53022,1,2.826074803,670,0,4.015295037,10358.45627,1,2.278753601,190,0,Dairy325
Dairy 326,Healthy,CA,Farm2,calf,07/14-15/2022,101.7,66021510.97,4.367593582,23312.75404,1,2.826074803,670,0,2.230448921,170,0,3.314782071,2064.344008,1,Dairy326
Dairy 327,Healthy,CA,Farm2,calf,07/14-15/2022,101.7,433332908.1,2.278753601,190,0,2.826074803,670,0,2.230448921,170,0,3.130462598,1350.400525,1,Dairy327
Dairy 328,Healthy,CA,Farm2,calf,07/14-15/2022,102.7,520435515.5,3.524099099,3342.713068,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy328
Dairy 329,Healthy,CA,Farm2,calf,07/14-15/2022,103.2,988946487.3,5.455021117,285115.69,1,2.826074803,670,0,2.230448921,170,0,7.976931178,94826818.03,1,Dairy329
Dairy 330,Healthy,CA,Farm2,calf,07/14-15/2022,101.5,198233852.9,3.059898478,1147.885256,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy330
Dairy 331,Healthy,CA,Farm2,calf,07/14-15/2022,105.1,645695102.4,5.833301774,681242.5633,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy331
