Name,Status,State,Farm,animal,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBcopies,MBpre_abs,MHcopy_log,MHcopies,MHpre_abs,PMcopy_log,PMcopies,PMpre_abs,ID,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Dairy 239,Healthy,TX,Farm1,calf,1/1/22,101.5,5431254.09,4.58167879,38166.18842,1,2.826074803,670,0,4.880398617,75927.4155,1,2.278753601,190,0,Dairy239,0.007027141,3.50E-05,0.00012336,0.013979721,114953.6039,0.332013848,0.001652841,0.005828438,0.660504872,6.734900201
Dairy 240,BRD,TX,Farm1,calf,1/1/22,102.1,29984283.47,6.572769229,3739118.502,1,4.650162221,44685.04719,1,3.835570299,6848.103238,1,6.025091376,1059476.616,1,Dairy240,0.124702613,0.035334398,0.001490282,0.00022839,4850128.268,0.77093188,0.21844301,0.009213168,0.001411943,7.47689369
Dairy 241,BRD,TX,Farm1,calf,1/1/22,102.7,1132230.26,4.591710007,39058.00052,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy241,0.034496517,0.00016781,0.000591752,0.000150146,40088.00052,0.974306526,0.004739573,0.016713231,0.00424067,6.053935141
Dairy 242,Healthy,TX,Farm1,calf,1/1/22,102.8,6193278.97,6.655407747,4522803.787,1,2.826074803,670,0,4.104595949,12723.18814,1,2.278753601,190,0,Dairy242,0.730276128,3.07E-05,0.000108182,0.002054354,4536386.975,0.997005725,4.19E-05,0.000147695,0.002804696,6.791920713
Dairy 243,Healthy,TX,Farm1,calf,1/1/22,102.3,916095.54,4.451285646,28267.38575,1,2.826074803,670,0,2.230448921,170,0,3.510770792,3241.684855,1,Dairy243,0.030856373,0.003538588,0.000731365,0.00018557,32349.07061,0.873823737,0.100209521,0.020711569,0.005255174,5.961941243
Dairy 244,BRD,TX,Farm1,calf,1/1/22,101.7,35556617.53,6.042074421,1101728.086,1,2.826074803,670,0,5.339299878,218423.7595,1,2.278753601,190,0,Dairy244,0.030985177,5.34E-06,1.88E-05,0.006142985,1321011.846,0.834003185,0.000143829,0.000507187,0.165345799,7.550920452
Dairy 245,Healthy,TX,Farm1,calf,1/1/22,103.3,12594452.96,6.920434875,8325970.63,1,4.515209602,32749.87161,1,4.72224663,52752.93534,1,3.900918199,7960.094058,1,Dairy245,0.661082356,0.000632032,0.002600341,0.004188585,8419433.531,0.988899146,0.000945443,0.003889795,0.006265616,7.100179343
Dairy 246,Healthy,TX,Farm1,calf,1/1/22,101.8,1254517.03,6.056457371,1138825.992,1,3.496987228,3140.416336,1,2.230448921,170,0,2.278753601,190,0,Dairy246,0.907780417,0.000151453,0.002503287,0.00013551,1142326.408,0.996935713,0.000166327,0.002749141,0.000148819,6.098476907
Dairy 247,BRD,TX,Farm1,calf,1/1/22,101.7,7000749.58,5.876922662,753221.4194,1,3.704097045,5059.377035,1,4.531790972,34024.4389,1,4.847265203,70350.17835,1,Dairy247,0.107591539,0.010048949,0.000722691,0.004860114,862655.4137,0.873142865,0.08155073,0.005864888,0.039441518,6.845144605
Dairy 248,BRD,TX,Farm1,calf,1/1/22,101.8,20020994.03,5.954574272,900687.7835,1,2.826074803,670,0,3.133053338,1358.480278,1,2.278753601,190,0,Dairy248,0.044987166,9.49E-06,3.35E-05,6.79E-05,902906.2638,0.997542956,0.000210432,0.000742048,0.001504564,7.301485658
Dairy 249,Healthy,TX,Farm1,calf,1/1/22,101.6,2361256.45,4.015910519,10373.14669,1,2.826074803,670,0,3.906869102,8069.917639,1,5.419530718,262742.7358,1,Dairy249,0.004393062,0.111272427,0.000283747,0.003417637,281855.8001,0.036803027,0.932188501,0.002377102,0.02863137,6.373143341
Dairy 250,BRD,TX,Farm1,calf,1/1/22,101.9,11561521.59,6.211721012,1628249.718,1,2.826074803,670,0,2.230448921,170,0,5.91743088,826857.9,1,Dairy250,0.140833514,0.071518086,5.80E-05,1.47E-05,2455947.618,0.662982266,0.336675707,0.000272807,6.92E-05,7.063015032
Dairy 251,BRD,TX,Farm1,calf,1/1/22,101.4,858451.19,5.957015123,905764.1405,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,Dairy251,1.055114316,0.000221329,0.000780475,0.000198031,906794.1405,0.99886413,0.000209529,0.000738867,0.000187474,5.933716113
Dairy 252,Healthy,TX,Farm1,calf,1/1/22,101.9,51368531.41,5.8128821,649953.221,1,2.826074803,670,0,4.080208053,12028.4053,1,5.716510753,520607.8991,1,Dairy252,0.012652751,0.010134763,1.30E-05,0.000234159,1183259.525,0.549290504,0.43997778,0.000566233,0.010165484,7.710697158
