"","Name","Status","State","Farm","animal","Date.of.colleciton","RectaTemp","X16S.copies","Hscopy_log","HScopies","HSpre_abs","MBcopy_log","MBcopies","MBpre_abs","MHcopy_log","MHcopies","MHpre_abs","PMcopy_log","PMcopies","PMpre_abs","ID","HSRel","PMRel","MBRel","MHRel","BactABund","HSRelBact","PMRelBact","MBRelBact","MHRelBact","X16S_log"
"24","Dairy 227","Healthy","TX","Full Circle","calf","1/1/22",102.1,48143464.26,3.724572955,5303.626786,1,2.826074803,670,0,5.275018514,188372.9389,1,5.333489584,215520.9953,1,"Dairy227",0.000110162965368625,0.00447664077798958,1.39167384461917e-05,0.00391274167315188,409867.560986,0.0129398549454397,0.525830819061481,0.00163467437722617,0.459594651615853,7.68253734661898
"25","Dairy 228","BRD","TX","Full Circle","calf","1/1/22",101.4,4256127.29,3.930718599,8525.475276,1,2.826074803,670,0,4.390776909,24591.04071,1,2.278753601,190,0,"Dairy228",0.00200310627363779,4.46415219879385e-05,0.000157420103852204,0.00577779728716713,33976.515986,0.250922586633453,0.00559209779125939,0.0197195027375989,0.723765812837688,6.6290147101703
"26","Dairy 229","Healthy","TX","Full Circle","calf","1/1/22",100.8,96764085036,3.589988609,3890.349411,1,2.826074803,670,0,5.648016544,444648.2059,1,2.278753601,190,0,"Dairy229",4.02044767906671e-08,1.96353843401002e-09,6.92405658308797e-09,4.59517811525396e-06,449398.555311,0.00865679109339312,0.000422787295941602,0.00149088151726775,0.989429540093398,10.9857141944519
"27","Dairy 230","BRD","TX","Full Circle","calf","1/1/22",100.9,83956390.23,3.984256523,9643.984932,1,3.517518679,3292.446139,1,5.015256959,103575.4811,1,6.05297798,1129738.632,1,"Dairy230",0.000114868980259634,0.0134562554310048,3.92161469779761e-05,0.00123368192482136,1246250.544171,0.00773839977611816,0.906510041086078,0.00264188140530773,0.0831096777324963,7.92405376265714
"28","Dairy 231","Healthy","TX","Full Circle","calf","1/1/22",102,60454198.56,5.721800138,526987.287,1,2.826074803,670,0,5.61848587,415418.535,1,2.278753601,190,0,"Dairy231",0.00871713296268367,3.14287517700574e-06,1.10827703610202e-05,0.00687162421957678,943265.822,0.558683750337347,0.000201427843104868,0.000710298183580323,0.440404523635968,7.78142647529414
"29","Dairy 232","BRD","TX","Full Circle","calf","1/1/22",101,10538933.06,4.227698683,16892.68497,1,3.570611495,3720.587259,1,5.184117798,152798.0451,1,2.278753601,190,0,"Dairy232",0.00160288379040145,1.80283904374662e-05,0.000353032630325863,0.0144984358691809,173601.317329,0.097307354747694,0.00109446174097816,0.0214317916260332,0.880166391885295,7.02279668722658
"30","Dairy 233","Healthy","TX","Full Circle","calf","1/1/22",102,29599554.86,3.32321755,2104.832545,1,2.826074803,670,0,2.230448921,170,0,2.278753601,190,0,"Dairy233",7.11102769942129e-05,6.41901545136953e-06,2.26354755390399e-05,5.74332961438326e-06,3134.832545,0.671433805406024,0.0606092980318985,0.2137275246388,0.0542293719232776,7.47128519453872
"31","Dairy 234","BRD","TX","Full Circle","calf","1/1/22",101.2,2085308.57,4.682233026,48109.74179,1,2.826074803,670,0,4.340239366,21889.67764,1,5.502117704,317773.5194,1,"Dairy234",0.0230708023177596,0.152386809305637,0.000321295375484886,0.0104970928307267,388442.93883,0.123852790154734,0.818070011407961,0.00172483506076351,0.0563523633765419,6.31917053631838
"32","Dairy 235","Healthy","TX","Full Circle","calf","1/1/22",102.4,7366158.84,3.980537441,9561.751243,1,2.826074803,670,0,4.445872727,27917.25584,1,2.278753601,190,0,"Dairy235",0.00129806476491892,2.57936333069896e-05,9.09564963983318e-05,0.00378993400039144,38339.007083,0.24940007502802,0.00495578822864842,0.0174756742799708,0.728168462463361,6.86724113847719
"33","Dairy 236","BRD","TX","Full Circle","calf","1/1/22",102.4,5139234.32,4.102764193,12669.63762,1,2.826074803,670,0,3.43416975,2717.501235,1,3.987837088,9723.823966,1,"Dairy236",0.00246527728278402,0.00189207639903837,0.0001303696150597,0.000528775507360015,25780.962821,0.491433842404051,0.377170706676611,0.0259881682717547,0.105407282647584,6.7108985040128
