	pielou_evenness
Beef200	0.4699176080597244
Beef210	0.515531189329914
Beef211	0.6939578484215373
Beef215	0.5474577788721514
Beef216	0.5200687286477154
Beef217	0.810898155699229
Beef218	0.5083502875320071
Beef220	0.6736797574360773
Beef222	0.7868207984127259
Beef224	0.592341857032354
Beef225	0.48302280809436415
Beef226	0.49503495962219757
Beef227	0.6295738637755759
Beef228	0.6423071395777351
Beef229	0.693553667721954
Beef230	0.6752555517515784
Beef232	0.6261362746035954
Beef233	0.48021867714593364
Beef24	0.6308088326430178
Beef240	0.7290860476821581
Beef241	0.6956214192911033
Beef242	0.43918211133978696
Beef243	0.6294310775951066
Beef244	0.6887942278079535
Beef245	0.4634227541688693
Beef246	0.7933586870892587
Beef247	0.7783484860134241
Beef248	0.8108066262635878
Beef249	0.5766564532805488
Beef25	0.5492912727250591
Beef250	0.5553654008260838
Beef251	0.6081693166719564
Beef252	0.6245641556179672
Beef253	0.6107393396965006
Beef255	0.5884653396060601
Beef256	0.6329849261647403
Beef257	0.6343807355057236
Beef258	0.587505630113688
Beef259	0.7287088005681501
Beef26	0.5960684988474195
Beef260	0.5853103640740165
Beef261	0.5802021140500639
Beef262	0.6775224208966388
Beef263	0.7020180563552276
Beef266	0.432712950925313
Beef267	0.6450881832327701
Beef268	0.5553686626096387
Beef269	0.49919425844034004
Beef27	0.5723607038523716
Beef270	0.5933702805921044
Beef271	0.5128675923112302
Beef272	0.43649357629137164
Beef273	0.6896551420082937
Beef274	0.628447675090139
Beef275	0.2732554433232172
Beef276	0.4612563752100109
Beef277	0.5818686878778133
Beef278	0.7004812206889581
Beef279	0.7273453348696464
Beef28	0.6424586538016044
Beef280	0.5483880977519816
Beef281	0.5005496773191732
Beef282	0.6168127668214827
Beef283	0.5230552070181963
Beef284	0.4291485457787945
Beef285	0.2870317327650152
Beef286	0.3796051890512377
Beef287	0.5023380203308958
Beef288	0.4650265848368568
Beef289	0.5409034475612313
Beef29	0.5613900238996172
Beef290	0.5821427084121297
Beef291	0.5848967340757726
Beef292	0.5744372017803417
Beef293	0.6132083810052846
Beef296	0.30997010153621535
Beef297	0.6326096412031
Beef299	0.4654880196842485
Beef3	0.6076629445571284
Beef30	0.6506708883469077
Beef300	0.5291972469220523
Beef301	0.5550673405902798
Beef303	0.7037009275396482
Beef305	0.46071859745265115
Beef306	0.569126796454008
Beef307	0.48704841086864037
Beef308	0.5641726954217204
Beef309	0.5488738563247996
Beef31	0.6629543595056719
Beef312	0.3689190622573814
Beef313	0.5750467778324718
Beef315	0.6029046744015594
Beef316	0.6448639374636264
Beef317	0.5786750718521367
Beef318	0.6085474178789385
Beef319	0.5158397461450186
Beef32	0.6010066161159235
Beef320	0.6961061985591658
Beef321	0.6060913580928955
Beef322	0.5992163455024125
Beef323	0.579293626172188
Beef325	0.5331695221500031
Beef326	0.6203029531102593
Beef327	0.6076490900680959
Beef328	0.5260286423350798
Beef329	0.5631151768864949
Beef33	0.6095227336096752
Beef330	0.532033165960637
Beef331	0.5766903343105786
Beef332	0.6183191928193474
Beef333	0.6001848284854784
Beef334	0.4904017062356198
Beef335	0.7380922762274743
Beef336	0.7307023190306176
Beef337	0.8010829224963928
Beef338	0.7696905003270786
Beef339	0.5336261989036775
Beef34	0.49296876758361236
Beef340	0.7587202443054704
Beef341	0.6048579091976604
Beef342	0.6325001038570036
Beef344	0.5213526405421907
Beef345	0.41665965484211415
Beef347	0.49336925285828603
Beef348	0.5519337609932462
Beef349	0.630964170674371
Beef35	0.6336032740588801
Beef350	0.7444768776228661
Beef351	0.7499385596909247
Beef352	0.5051273083918485
Beef353	0.5081228093428543
Beef354	0.5155043298227796
Beef355	0.5509420136901636
Beef356	0.6826039181896939
Beef357	0.4766925848185903
Beef358	0.49108361831025976
Beef359	0.7090078603313632
Beef36	0.5009053429740452
Beef360	0.6404311816012588
Beef361	0.6106675857374831
Beef362	0.6075930210318243
Beef364	0.6812505062082708
Beef365	0.7853205075257073
Beef366	0.5465876429609365
Beef367	0.7373962054457998
Beef368	0.7339833273632674
Beef369	0.558409973132209
Beef37	0.5860274415005662
Beef370	0.4112792406657968
Beef371	0.8157362047010462
Beef372	0.5298990251777956
Beef373	0.547441770622909
Beef374	0.6419609462150563
Beef377	0.4154897174247123
Beef378	0.44283762764900153
Beef379	0.37799773868326125
Beef38	0.656496302244274
Beef380	0.4379493178199521
Beef381	0.46422604621128394
Beef382	0.7040624167340839
Beef384	0.5992738900481629
Beef385	0.6606887305718226
Beef386	0.6476565569526866
Beef387	0.5043791476026404
Beef388	0.5235586719129551
Beef389	0.671854301287462
Beef390	0.6548656956498864
Beef391	0.5147905994087114
Beef394	0.4847582536073956
Beef395	0.40937075901309755
Beef396	0.5172762634272395
Beef397	0.601030605388031
Beef398	0.5900460078560621
Beef399	0.5891946237828759
Beef40	0.7236492005287709
Beef400	0.6262875703041026
