	shannon_entropy
Beef261	4.342125735129945
Beef262	5.053932168772075
Beef263	6.231475174031801
Beef266	2.881094338586333
Beef267	5.774367994377308
Beef268	4.114943534954775
Beef269	3.6228463423468975
Beef27	3.866232165181871
Beef270	4.666374339282049
Beef271	3.8464279028136468
Beef272	2.556971074410122
Beef273	5.301034612621367
Beef274	4.601448688409134
Beef275	1.9831207323235074
Beef276	2.9641555868937393
Beef277	4.018903368182337
Beef278	5.436820881742596
Beef279	6.257807484987293
Beef28	4.061577413271876
Beef280	4.081621625363969
Beef281	3.9395085207716782
Beef282	5.001441405025002
Beef283	3.7960145004709456
Beef284	2.458128733412409
Beef285	2.1042057742815343
Beef286	2.4703926146992576
Beef287	3.9251593748947555
Beef288	3.3748782833238877
Beef289	4.685185635095232
Beef29	4.258122279557551
Beef290	3.8507051040136036
Beef291	4.181863739665951
Beef292	4.672717093476071
Beef293	5.015988809858469
Beef296	1.9482867639766843
Beef297	5.27868204039912
Beef299	3.483626585840474
Beef3	4.112774816099347
Beef30	4.192235768012823
Beef300	4.128214750552338
Beef301	4.523658460106758
Beef303	6.485832609309249
Beef305	3.4479331084952105
Beef306	3.3886926715887564
Beef307	3.6410440876297527
Beef308	4.266410691905288
Beef309	3.630641300609129
Beef31	4.24913366288863
Beef312	2.6560963700174343
Beef313	4.128783587343163
Beef315	4.285762623089364
Beef316	4.406284358790169
Beef317	3.9968454116886067
Beef318	4.210456357700968
Beef319	4.117945379047628
Beef32	4.1141848111733
Beef320	6.253117508961869
Beef321	4.55040944976059
Beef322	3.777328462771148
Beef323	4.241546276659321
Beef325	4.1694810805184135
Beef326	4.558437775674043
Beef327	4.512563020799501
Beef328	3.6581064436844297
Beef329	3.929012218308246
Beef33	4.417776590998911
Beef330	3.8711395032615097
Beef331	3.969153721076861
Beef332	4.414521629307503
Beef333	4.138165016709609
Beef334	3.1914335953844617
Beef335	6.914822259026013
Beef336	6.663231388942614
Beef337	6.938802512578429
Beef338	7.12894641560983
Beef339	4.176451319808378
Beef34	3.4507813730852863
Beef340	6.922655550783791
Beef341	5.0308528034960664
Beef342	4.636805686774556
Beef344	3.783658315226607
Beef345	3.0764916819584758
Beef347	3.5943934494921668
Beef348	4.178058876081918
Beef349	5.158085203583657
Beef35	4.463351177786637
Beef350	6.783029835374655
Beef351	6.728106451054241
Beef352	3.7720914916454538
Beef353	3.9864724453572693
Beef354	3.9696100162410377
Beef355	4.461546102713823
Beef356	6.266241913469382
Beef357	3.7634010862629856
Beef358	4.110707459479014
Beef359	5.553580589153845
Beef36	3.1483915541690193
Beef360	5.338243893964366
Beef361	4.3150316265425745
Beef362	4.23934658730401
Beef364	6.179938326540976
Beef365	7.569261383729002
Beef366	4.52869846979123
Beef367	6.6365658490121975
Beef368	6.5615020969502025
Beef369	4.330406521726406
Beef37	4.1899480118193715
Beef370	3.064528448114948
Beef371	7.5223824796206
Beef372	4.214920870946824
Beef373	3.8623563087354813
Beef374	4.634424254281837
Beef377	3.1514739261016724
Beef378	3.394499172698967
Beef379	2.641707007970215
Beef38	4.303063343857912
Beef380	2.9979776979543584
Beef381	3.1778547807285884
Beef382	4.746413538778633
Beef384	4.618819089080343
Beef385	5.679405697741556
Beef386	5.637140220425357
Beef387	3.1220184348177926
Beef388	4.323227012390347
Beef389	5.635525492432709
Beef390	6.065428184088569
Beef391	3.536799172150805
Beef394	3.3654412072522617
Beef395	2.8125264199526656
Beef396	3.845756709562606
Beef397	3.9113837523396056
Beef398	4.956905373858388
Beef399	4.876248005345833
Beef40	6.028661338519288
Beef400	4.7216814539456164
Beef401	5.744026909611745
Beef402	3.9404250545953685
Beef403	4.457407963102909
Beef404	4.183878579767119
Beef405	4.140535514535507
Beef406	7.7271554218183836
Beef407	4.990877787989582
Beef408	3.998323997298566
Beef409	4.623700709281013
Beef410	5.5601071662719255
Beef411	6.933163472816723
Beef412	6.674923248427338
Beef413	4.883154540354705
Beef414	3.8706965160699456
