#SampleID	faith_pd
Beef445	50.10931472022543
Beef446	49.50526361671417
Beef447	55.01306113655516
Beef448	43.21242849389726
Beef449	48.49664025135429
Beef45	13.65403478129623
Beef450	55.92309563031318
Beef451	52.17852528985321
Beef452	27.14640585443603
Beef453	43.34568835937726
Beef454	48.36366174745863
Beef455	43.93394844887407
Beef456	51.53879134626056
Beef457	50.80476408868875
Beef458	42.73755628857571
Beef459	52.20737651962583
Beef460	60.03173881719795
Beef461	43.04488507954807
Beef462	53.5766359117106
Beef463	52.91265749861826
Beef464	42.16494896399561
Beef465	45.86337747796271
Beef466	41.45870292470916
Beef467	54.27456192796326
Beef468	41.80163677536358
Beef469	56.41485911640118
Beef47	8.076854216221923
Beef470	54.00358037538186
Beef471	50.743346365465
Beef472	48.73062573622575
Beef473	54.10570775684443
Beef474	42.59196490956446
Beef475	55.12187088802968
Beef476	59.86343733768274
Beef477	59.46128147796216
Beef478	48.21584053388714
Beef479	49.83779675517238
Beef48	7.181725874334184
Beef480	39.33873977290733
Beef481	44.24880435881329
Beef482	54.49862675046637
Beef483	44.12677463728072
Beef484	40.68937496418019
Beef485	57.44391261130574
Beef486	41.11543643431596
Beef487	43.55625634375848
Beef488	40.20778131920302
Beef489	39.32554727593084
Beef49	11.61078118819492
Beef490	44.89877988232903
Beef491	50.44820631196212
Beef492	50.27223897142243
Beef493	44.34130544090721
Beef494	32.17192718305787
Beef495	52.07761143739101
Beef496	38.49523967298627
Beef497	24.24300980380132
Beef498	43.45151563925548
Beef499	27.67987063130394
Beef5	14.72435067720088
Beef50	12.44000674581801
Beef501	32.03127211282708
Beef502	41.04623885325945
Beef503	53.19708528070556
Beef506	47.73035179701927
Beef507	42.18707658353526
Beef508	44.62390086444717
Beef51	12.44119626700472
Beef510	43.86979452504917
Beef511	43.74181100661887
Beef513	50.30731972396908
Beef514	50.39632242995395
Beef515	38.32836287687616
Beef516	45.09489247468849
Beef517	31.64479465715234
Beef518	16.815518022482
Beef519	45.26244893741392
Beef52	14.24770181241643
Beef520	37.80559561337024
Beef521	49.37546270984642
Beef522	28.44796046565265
Beef523	44.00794747127367
Beef524	56.62657579931422
Beef525	48.08636301878848
Beef526	49.69478920436648
Beef527	36.31688166453204
Beef528	30.32369883666721
Beef529	44.77857459918194
Beef53	9.346657275004858
Beef530	42.10859835910502
Beef531	50.59281657255949
Beef532	58.77602662926082
Beef533	75.98076618355488
Beef534	36.96584954370213
Beef535	50.72948320588295
Beef536	41.37233827596835
Beef537	47.2801069484437
Beef538	38.41474167776604
Beef539	28.32798905497504
Beef540	45.2544022191821
Beef541	37.01324081793864
Beef542	37.72703685379546
Beef543	35.47915543493961
Beef544	38.0551711578634
Beef545	43.7524897871277
Beef546	42.04961641413081
Beef547	42.38872634875149
Beef548	47.4653273046174
Beef549	54.317043364612
Beef550	45.53483841623807
Beef551	32.7464906097647
Beef552	52.3883036731705
Beef553	28.46914740346389
Beef554	43.82673636285978
Beef555	47.70736966601814
Beef557	36.88610601403195
Beef558	48.0756529109629
Beef559	57.11905628672942
Beef56	11.09355702244847
Beef560	36.50049379440734
Beef561	32.51959342753022
Beef562	44.29428132399244
Beef563	26.79150689499669
Beef564	41.94438040278818
Beef565	24.30255742077857
Beef566	32.54293440949259
Beef567	41.54236979679733
Beef57	12.24231362854824
Beef58	5.534963583477895
Beef59	11.31601418415106
Beef6	17.63899007193345
Beef60	9.096687960332355
Beef61	15.30853971896314
Beef63	15.10181862017967
Beef64	19.49815762494695
Beef65	14.64219100301694
Beef66	11.83220953398104
Beef67	10.57110517156047
Beef68	13.18129080488719
Beef69	9.159340347800669
Beef7	11.9372456540541
Beef70	15.11764541337778
Beef71	17.54183700223564
Beef78	11.90318268610391
Beef79	8.158521865728645
Beef8	11.63498262294458
Beef80	13.61139216395526
Beef81	10.4127322694234
Beef82	21.75908582725521
Beef83	13.07099602594069
Beef84	13.90507390587064
Beef86	13.89018904918184
Beef87	16.84364188285549
Beef88	11.23848117271904
Beef89	19.93788240333274
Beef9	9.904696114377977
Beef90	12.86505557614046
Beef91	14.27627968244317
Beef92	13.45575159794458
Beef93	14.0723150692281
Beef94	9.36279261977575
Beef95	24.20194757886795
Beef96	11.90771265333859
Beef97	12.81782047720973
Beef98	13.09577036783546
Beef99	18.23403904093632
