"","Family","Status","Abundance.average","overall.max"
"221"," Magnetospiraceae","Healthy",2.5235718964687e-07,2.5235718964687e-07
"222"," Marinifilaceae","Healthy",0.000101246067774869,0.000101246067774869
"223"," Marinilabiliaceae","Healthy",1.90826314243928e-06,1.90826314243928e-06
"224"," Marinobacteraceae","Healthy",0.000792238884433989,0.000792238884433989
"225"," Marinococcaceae","Healthy",5.30293043459698e-06,5.30293043459698e-06
"226"," Marinomonadaceae","Healthy",0.000137113826690965,0.000137113826690965
"227"," MB-A2-108","Healthy",0,0
"228"," Methanobacteriaceae","Healthy",0.00400385548801008,0.00400385548801008
"229"," Methanocorpusculaceae","Healthy",2.60821920807927e-06,2.60821920807927e-06
"230"," Methanomethylophilaceae","Healthy",0.000183907359886191,0.000183907359886191
"231"," Methanomicrobiaceae","Healthy",6.01667340534088e-07,6.01667340534088e-07
"232"," Methanomicrobiales","Healthy",2.16954262787091e-06,2.16954262787091e-06
"233"," Methanosaetaceae","Healthy",0,0
"234"," Methanosarcinaceae","Healthy",7.09071267449541e-06,7.09071267449541e-06
"235"," Methylococcaceae","Healthy",0,0
"236"," Methyloligellaceae","Healthy",0,0
"237"," Methylomonadaceae","Healthy",3.20810941842906e-06,3.20810941842906e-06
"238"," Methylophagaceae","Healthy",2.21908400109635e-06,2.21908400109635e-06
"239"," Methylophilaceae","Healthy",1.06135796121548e-05,1.06135796121548e-05
"240"," Methylopilaceae","Healthy",1.47453255074167e-05,1.47453255074167e-05
"241"," Microbacteriaceae","Healthy",0.011548157458804,0.011548157458804
"242"," Micrococcaceae","Healthy",0.0394305103353358,0.0394305103353358
"243"," Micrococcales","Healthy",2.24855600122713e-05,2.24855600122713e-05
"244"," Micrococcales_Incertae_Sedis","Healthy",0.000355497785852588,0.000355497785852588
"245"," Microgenomatia","Healthy",0,0
"246"," Micromonosporaceae","Healthy",6.13294551045495e-06,6.13294551045495e-06
"247"," Microscillaceae","Healthy",1.45736963900992e-05,1.45736963900992e-05
"248"," Microtrichaceae","Healthy",9.65930349511598e-07,9.65930349511598e-07
"249"," Monoglobaceae","Healthy",0.000293418254343668,0.000293418254343668
"250"," Moraxellaceae","Healthy",0.369117110660134,0.369117110660134
"251"," Morganellaceae","Healthy",4.90205039986186e-05,4.90205039986186e-05
"252"," Muribaculaceae","Healthy",0.00135026998697668,0.00135026998697668
"253"," MVP-88","Healthy",0,0
"254"," MWH-CFBk5","Healthy",7.34291755408885e-07,7.34291755408885e-07
"255"," Mycobacteriaceae","Healthy",1.23458099921874e-05,1.23458099921874e-05
"256"," Mycoplasmataceae","Healthy",0.033895941321133,0.033895941321133
"257"," Myxococcaceae","Healthy",1.22763336122477e-05,1.22763336122477e-05
"258"," Nakamurellaceae","Healthy",6.56296340665868e-06,6.56296340665868e-06
"259"," Nannocystaceae","Healthy",0,0
"260"," Neisseriaceae","Healthy",0.0153904375812815,0.0153904375812815
"261"," Nitriliruptoraceae","Healthy",2.72765063974942e-06,2.72765063974942e-06
"262"," Nitrosomonadaceae","Healthy",0,0
"263"," Nitrososphaeraceae","Healthy",2.55654123785492e-06,2.55654123785492e-06
"264"," Nitrospiraceae","Healthy",3.05776173064422e-06,3.05776173064422e-06
"265"," Nocardiaceae","Healthy",0.000473716963272859,0.000473716963272859
"266"," Nocardioidaceae","Healthy",0.000308743078524487,0.000308743078524487
"267"," Nocardiopsaceae","Healthy",4.34555156019832e-05,4.34555156019832e-05
"268"," NS11-12_marine_group","Healthy",4.87403067714908e-07,4.87403067714908e-07
"269"," NS9_marine_group","Healthy",0,0
"270"," Oligoflexales","Healthy",4.21649709921763e-06,4.21649709921763e-06
"271"," Omnitrophaceae","Healthy",6.90762655505784e-07,6.90762655505784e-07
"272"," Omnitrophales","Healthy",2.48622060333456e-06,2.48622060333456e-06
"273"," Opitutaceae","Healthy",7.79844908343853e-07,7.79844908343853e-07
"274"," Oscillospiraceae","Healthy",0.00303354885192671,0.00303354885192671
"275"," Oscillospirales","Healthy",0.000221555199174117,0.000221555199174117
"276"," Oxalobacteraceae","Healthy",0.0037284434594475,0.0037284434594475
"277"," p-251-o5","Healthy",3.57971258268104e-06,3.57971258268104e-06
"278"," p-2534-18B5_gut_group","Healthy",0.000197057310961584,0.000197057310961584
"279"," Paenibacillaceae","Healthy",0.00027288159672336,0.00027288159672336
"280"," Paludibacteraceae","Healthy",4.12247270569553e-05,4.12247270569553e-05
"281"," Paracaedibacteraceae","Healthy",2.71303099847861e-06,2.71303099847861e-06
"282"," Parachlamydiaceae","Healthy",9.25381472888315e-07,9.25381472888315e-07
"283"," Parcubacteria","Healthy",1.47760081991026e-05,1.47760081991026e-05
"284"," Parvibaculaceae","Healthy",1.17800310097536e-07,1.17800310097536e-07
"285"," Pasteurellaceae","Healthy",0.0831378254728446,0.0831378254728446
"286"," Pectobacteriaceae","Healthy",7.32486773952451e-07,7.32486773952451e-07
"287"," Pedosphaeraceae","Healthy",1.33839842592169e-06,1.33839842592169e-06
"288"," PeM15","Healthy",4.14323416033344e-06,4.14323416033344e-06
"289"," Peptococcaceae","Healthy",0.00010162167449184,0.00010162167449184
"290"," Peptostreptococcaceae","Healthy",0.000950468129859153,0.000950468129859153
"291"," Peptostreptococcales-Tissierellales","Healthy",0.00142150482009455,0.00142150482009455
