ID,cattle,State,Farm,Date_of_colleciton,Status,RectTemp,animal
Dairy270,Dairy270,TX,Full Circle,1/1/22,BRD,102.3,calf
Dairy271,Dairy271,TX,Full Circle,1/1/22,BRD,104.8,calf
Dairy272,Dairy272,TX,Full Circle,1/1/22,Healthy,102.6,calf
Dairy273,Dairy273,TX,Full Circle,1/1/22,BRD,103.8,calf
Dairy274,Dairy274,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy275,Dairy275,TX,Full Circle,1/1/22,Healthy,102.9,calf
Dairy276,Dairy276,TX,Full Circle,1/1/22,BRD,102.5,calf
Dairy277,Dairy277,TX,Full Circle,1/1/22,BRD,102.7,calf
Dairy278,Dairy278,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy279,Dairy279,TX,Full Circle,1/1/22,Healthy,103.2,calf
Dairy28,Dairy 28,IN,Warren,2/20/21,BRD,102,calf
Dairy280,Dairy280,TX,Full Circle,1/1/22,BRD,103.8,calf
Dairy281,Dairy281,TX,Full Circle,1/1/22,Healthy,102.1,calf
Dairy282,Dairy282,TX,Full Circle,1/1/22,BRD,103,calf
Dairy283,Dairy283,TX,Full Circle,1/1/22,BRD,103,calf
Dairy284,Dairy284,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy285,Dairy 285,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy286,Dairy 286,TX,Full Circle,1/1/22,BRD,102.3,calf
Dairy287,Dairy 287,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy288,Dairy 288,TX,Full Circle,1/1/22,BRD,102.2,calf
Dairy289,Dairy 289,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy29,Dairy 29,IN,Warren,2/20/21,BRD,102,calf
Dairy290,Dairy 290,TX,Full Circle,1/1/22,BRD,101.2,calf
Dairy291,Dairy 291,TX,Full Circle,1/1/22,Healthy,102.9,calf
Dairy292,Dairy 292,TX,Full Circle,1/1/22,BRD,101.8,calf
Dairy293,Dairy 293,TX,Full Circle,1/1/22,Healthy,101.3,calf
Dairy294,Dairy 294,TX,Full Circle,1/1/22,BRD,101.6,calf
Dairy295,Dairy 295,TX,Full Circle,1/1/22,BRD,102,calf
Dairy296,Dairy 296,TX,Full Circle,1/1/22,BRD,102.5,calf
Dairy298,Dairy 298,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy299,Dairy 299,TX,Full Circle,1/1/22,Healthy,102.8,calf
Dairy3,Dairy 3,IN,Warren,2/20/21,BRD,100.5,Cow
Dairy30,Dairy 30,IN,Warren,2/20/21,BRD,103.5,calf
Dairy300,Dairy 300,TX,Full Circle,1/1/22,BRD,102.4,calf
Dairy302,Dairy 302,TX,Full Circle,1/1/22,Healthy,101.5,calf
Dairy303,Dairy 303,TX,Full Circle,1/1/22,BRD,101.2,calf
Dairy304,Dairy 304,TX,Full Circle,1/1/22,BRD,102.1,calf
Dairy305,Dairy 305,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy306,Dairy 306,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy307,Dairy 307,TX,Full Circle,1/1/22,BRD,104.3,calf
Dairy308,Dairy 308,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy309,Dairy 309,TX,Full Circle,1/1/22,BRD,101.7,calf
Dairy31,Dairy 31,IN,Warren,2/20/21,BRD,103.3,calf
Dairy310,Dairy 310,TX,Full Circle,1/1/22,Healthy,100.5,calf
Dairy311,Dairy 311,TX,Full Circle,1/1/22,BRD,102.3,calf
Dairy312,Dairy 312,TX,Full Circle,1/1/22,Healthy,102.2,calf
Dairy313,Dairy 313,TX,Full Circle,1/1/22,BRD,102.5,calf
Dairy314,Dairy 314,TX,Full Circle,1/1/22,BRD,101.1,calf
Dairy315,Dairy 315,TX,Full Circle,1/1/22,Healthy,101.6,calf
Dairy317,Dairy 317,CA,Gold Star Cattle,07/14-15/2022,Healthy,104.8,calf
Dairy318,Dairy 318,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.1,calf
Dairy320,Dairy 320,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.3,calf
Dairy321,Dairy 321,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.2,calf
Dairy322,Dairy 322,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.7,calf
Dairy323,Dairy 323,CA,Gold Star Cattle,07/14-15/2022,Healthy,103,calf
Dairy324,Dairy 324,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.1,calf
Dairy325,Dairy 325,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.4,calf
Dairy326,Dairy 326,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.7,calf
Dairy327,Dairy 327,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.7,calf
Dairy328,Dairy 328,CA,Gold Star Cattle,07/14-15/2022,Healthy,102.7,calf
Dairy329,Dairy 329,CA,Gold Star Cattle,07/14-15/2022,Healthy,103.2,calf
Dairy33,Dairy 33,IN,Warren,2/20/21,BRD,102.1,calf
Dairy330,Dairy 330,CA,Gold Star Cattle,07/14-15/2022,Healthy,101.5,calf
