"","State","Genus","Status","taxa.average","overall.max"
"215","CA"," CandidatuAzambacteria","Healthy",0,0
"216","CA"," CandidatuBerkiella","Healthy",0,0
"217","CA"," CandidatuCampbellbacteria","Healthy",0,0
"218","CA"," CandidatuKaiserbacteria","Healthy",0,0
"219","CA"," CandidatuLloydbacteria","Healthy",0,0
"220","CA"," CandidatuMethanomethylophilus","Healthy",0,0
"221","CA"," CandidatuMethanoplasma","Healthy",0,0
"222","CA"," CandidatuNitrocosmicus","Healthy",0,0
"223","CA"," CandidatuNomurabacteria","Healthy",0,0
"224","CA"," CandidatuOmnitrophus","Healthy",0,0
"225","CA"," CandidatuParacaedibacter","Healthy",6.69054298439699e-07,6.69054298439699e-07
"226","CA"," CandidatuPlanktoluna","Healthy",0,0
"227","CA"," CandidatuProtochlamydia","Healthy",0,0
"228","CA"," CandidatuSaccharimonas","Healthy",0,0
"229","CA"," CandidatuSoleaferrea","Healthy",0,0
"230","CA"," CandidatuSolibacter","Healthy",0,0
"231","CA"," CandidatuStoquefichus","Healthy",0,0
"232","CA"," CandidatuUdaeobacter","Healthy",0,0
"233","CA"," CandidatuVogelbacteria","Healthy",0,0
"234","CA"," CandidatuXiphinematobacter","Healthy",0,0
"235","CA"," CandidatuYonathbacteria","Healthy",0,0
"236","CA"," CandidatuZambryskibacteria","Healthy",2.29686172126817e-06,2.29686172126817e-06
"237","CA"," Candidimonas","Healthy",0,0
"238","CA"," Capnocytophaga","Healthy",0,0
"239","CA"," Caproiciproducens","Healthy",0,0
"240","CA"," Carnobacteriaceae","Healthy",0.00454189782753153,0.00454189782753153
"241","CA"," Carnobacterium","Healthy",0,0
"242","CA"," Castellaniella","Healthy",0,0
"243","CA"," Catellicoccus","Healthy",0,0
"244","CA"," Catenibacterium","Healthy",0,0
"245","CA"," Catenisphaera","Healthy",0.000122025320580111,0.000122025320580111
"246","CA"," Catonella","Healthy",0,0
"247","CA"," Caulobacter","Healthy",0,0
"248","CA"," Caviibacter","Healthy",0,0
"249","CA"," Cellulomonas","Healthy",0,0
"250","CA"," Cellulosilyticum","Healthy",0,0
"251","CA"," Cellulosimicrobium","Healthy",0,0
"252","CA"," Cellvibrio","Healthy",0,0
"253","CA"," Cellvibrionaceae","Healthy",0,0
"254","CA"," Cerasicoccus","Healthy",0,0
"255","CA"," Cereibacter","Healthy",0,0
"256","CA"," Cesiribacter","Healthy",0,0
"257","CA"," Chelativorans","Healthy",0,0
"258","CA"," Chelatococcus","Healthy",0,0
"259","CA"," Chishuiella","Healthy",0,0
"260","CA"," Chitinivorax","Healthy",6.69054298439699e-07,6.69054298439699e-07
"261","CA"," Chitinophaga","Healthy",0,0
"262","CA"," Chitinophagaceae","Healthy",0,0
"263","CA"," CHKCI001","Healthy",0,0
"264","CA"," CHKCI002","Healthy",0,0
"265","CA"," Chlamydia","Healthy",0,0
"266","CA"," Christensenella","Healthy",0,0
"267","CA"," Christensenellaceae","Healthy",0,0
"268","CA"," Christensenellaceae_R-7_group","Healthy",6.43779358696848e-06,6.43779358696848e-06
"269","CA"," Chryseobacterium","Healthy",0.00284390669792047,0.00284390669792047
"270","CA"," Chryseolinea","Healthy",0,0
"271","CA"," Chryseomicrobium","Healthy",8.40338682478895e-06,8.40338682478895e-06
"272","CA"," Chthoniobacter","Healthy",0,0
"273","CA"," Chthoniobacteraceae","Healthy",0,0
"274","CA"," Chthoniobacterales","Healthy",0,0
"275","CA"," Chthonomonadales","Healthy",0,0
"276","CA"," Citricoccus","Healthy",4.43927791602984e-05,4.43927791602984e-05
"277","CA"," CL500-29_marine_group","Healthy",0,0
"278","CA"," Clavibacter","Healthy",0,0
"279","CA"," Cloacibacillus","Healthy",0,0
"280","CA"," Cloacibacterium","Healthy",0,0
"281","CA"," Clostridia","Healthy",3.34527149219849e-07,3.34527149219849e-07
"282","CA"," Clostridia_UCG-014","Healthy",2.63654684216679e-05,2.63654684216679e-05
"283","CA"," Clostridia_vadinBB60_group","Healthy",6.65028700976162e-07,6.65028700976162e-07
"284","CA"," Clostridiaceae","Healthy",0,0
"285","CA"," Clostridiisalibacter","Healthy",0,0
"286","CA"," Clostridioides","Healthy",7.23055042068723e-06,7.23055042068723e-06
"287","CA"," Clostridium_sensu_strict1","Healthy",6.41110565345804e-05,6.41110565345804e-05
"288","CA"," Clostridium_sensu_strict10","Healthy",0,0
"289","CA"," Clostridium_sensu_strict12","Healthy",0,0
"290","CA"," Clostridium_sensu_strict13","Healthy",0,0
"291","CA"," Clostridium_sensu_strict19","Healthy",0,0
"292","CA"," Clostridium_sensu_strict2","Healthy",0,0
"293","CA"," Clostridium_sensu_strict3","Healthy",0,0
"294","CA"," Clostridium_sensu_strict6","Healthy",0,0
"295","CA"," Clostridium_sensu_strict7","Healthy",0,0
"296","CA"," Clostridium_sensu_strict9","Healthy",0,0
"297","CA"," Cnuella","Healthy",0,0
"298","CA"," Colidextribacter","Healthy",6.81090807794131e-07,6.81090807794131e-07
"299","CA"," Collinsella","Healthy",0.000403821835574806,0.000403821835574806
"300","CA"," Comamonadaceae","Healthy",0.00645087604455447,0.00645087604455447
