"","Genus","Status","Abundance.average","overall.max"
"606"," Luteitalea","Healthy",1.95090286644191e-05,1.95090286644191e-05
"607"," Luteolibacter","Healthy",6.39105498153209e-06,6.39105498153209e-06
"608"," Lysinibacillus","Healthy",2.80154520876965e-05,2.80154520876965e-05
"609"," Lysobacter","Healthy",4.31274870583044e-05,4.31274870583044e-05
"610"," M2PB4-65_termite_group","Healthy",9.7876873073085e-06,9.7876873073085e-06
"611"," Macellibacteroides","Healthy",1.63738208802239e-07,1.63738208802239e-07
"612"," Macrococcus","Healthy",0.000248442694521717,0.000248442694521717
"613"," Mailhella","Healthy",1.65870604889305e-05,1.65870604889305e-05
"614"," Mannheimia","Healthy",0.03874922080841,0.03874922080841
"615"," Mariniflexile","Healthy",8.06670191391994e-06,8.06670191391994e-06
"616"," Marinimicrobium","Healthy",1.37916408496779e-06,1.37916408496779e-06
"617"," Mariniradius","Healthy",0,0
"618"," Marinobacter","Healthy",0.000792238884433989,0.000792238884433989
"619"," Marinococcaceae","Healthy",3.98796886763618e-06,3.98796886763618e-06
"620"," Marinococcus","Healthy",0,0
"621"," Marinomonas","Healthy",0.000137113826690965,0.000137113826690965
"622"," Marinospirillum","Healthy",5.98632915434809e-05,5.98632915434809e-05
"623"," Marmoricola","Healthy",3.68698428086911e-06,3.68698428086911e-06
"624"," Marvinbryantia","Healthy",8.36897276032765e-05,8.36897276032765e-05
"625"," Massilia","Healthy",0.00362441899957246,0.00362441899957246
"626"," MB-A2-108","Healthy",0,0
"627"," Megamonas","Healthy",0.000770021557626221,0.000770021557626221
"628"," Megasphaera","Healthy",0.000764246533021392,0.000764246533021392
"629"," Meiothermus","Healthy",0,0
"630"," Melghirimyces","Healthy",4.44445728398771e-07,4.44445728398771e-07
"631"," Membranicola","Healthy",4.0260092361962e-06,4.0260092361962e-06
"632"," Mesorhizobium","Healthy",3.9665875764408e-06,3.9665875764408e-06
"633"," Methanimicrococcus","Healthy",6.62581068280878e-06,6.62581068280878e-06
"634"," Methanobacterium","Healthy",0,0
"635"," Methanobrevibacter","Healthy",0.00366971597320484,0.00366971597320484
"636"," Methanocorpusculum","Healthy",2.60821920807927e-06,2.60821920807927e-06
"637"," Methanoculleus","Healthy",6.01667340534088e-07,6.01667340534088e-07
"638"," Methanomethylophilaceae","Healthy",4.46221695878942e-07,4.46221695878942e-07
"639"," Methanosaeta","Healthy",0,0
"640"," Methanosarcina","Healthy",4.64901991686623e-07,4.64901991686623e-07
"641"," Methanosphaera","Healthy",0.000334139514805242,0.000334139514805242
"642"," Methylobacillus","Healthy",4.28588755836706e-06,4.28588755836706e-06
"643"," Methylobacter","Healthy",3.20810941842906e-06,3.20810941842906e-06
"644"," Methylobacterium-Methylorubrum","Healthy",0.000236199356759625,0.000236199356759625
"645"," Methylophaga","Healthy",2.21908400109635e-06,2.21908400109635e-06
"646"," Methylophilus","Healthy",4.76612693794474e-06,4.76612693794474e-06
"647"," Methylopila","Healthy",1.25450157506347e-05,1.25450157506347e-05
"648"," Methylopilaceae","Healthy",2.20030975678207e-06,2.20030975678207e-06
"649"," Methylotenera","Healthy",1.56156511584298e-06,1.56156511584298e-06
"650"," Microbacteriaceae","Healthy",0.00981129030844335,0.00981129030844335
"651"," Microbacterium","Healthy",3.02189901983243e-06,3.02189901983243e-06
"652"," Micrococcaceae","Healthy",0.00158302997516532,0.00158302997516532
"653"," Micrococcales","Healthy",2.24855600122713e-05,2.24855600122713e-05
"654"," Micrococcus","Healthy",0.000461252980439056,0.000461252980439056
"655"," Microgenomatia","Healthy",0,0
"656"," Micromonospora","Healthy",0,0
"657"," Micromonosporaceae","Healthy",1.97522311725288e-07,1.97522311725288e-07
"658"," Microscillaceae","Healthy",1.28501057196555e-06,1.28501057196555e-06
"659"," Microvirga","Healthy",2.8771059031232e-05,2.8771059031232e-05
"660"," Microvirgula","Healthy",9.82566463602931e-07,9.82566463602931e-07
"661"," Mitsuokella","Healthy",3.35682424529849e-05,3.35682424529849e-05
"662"," Mobilicoccus","Healthy",8.88379268030166e-07,8.88379268030166e-07
"663"," Mobiluncus","Healthy",9.52140520706608e-07,9.52140520706608e-07
"664"," Modestobacter","Healthy",5.36259027999598e-07,5.36259027999598e-07
"665"," Mogibacterium","Healthy",0.00084342588809262,0.00084342588809262
"666"," Moheibacter","Healthy",0.000476004284329316,0.000476004284329316
"667"," Mongoliicoccus","Healthy",6.82364294800871e-07,6.82364294800871e-07
"668"," Monoglobus","Healthy",0.000293418254343668,0.000293418254343668
"669"," Moraxella","Healthy",0.123026697584969,0.123026697584969
"670"," Moraxellaceae","Healthy",0.0102622423918738,0.0102622423918738
"671"," Morganella","Healthy",0,0
"672"," Morganellaceae","Healthy",1.01969736245599e-05,1.01969736245599e-05
"673"," Moryella","Healthy",4.77787599229633e-06,4.77787599229633e-06
"674"," Mucilaginibacter","Healthy",3.08007611233135e-05,3.08007611233135e-05
"675"," Mucispirillum","Healthy",3.98150765620774e-06,3.98150765620774e-06
"676"," Murdochiella","Healthy",1.06941922200308e-05,1.06941922200308e-05
"677"," Muribaculaceae","Healthy",0.0013438601070021,0.0013438601070021
"678"," Muribaculum","Healthy",6.40987997458429e-06,6.40987997458429e-06
"679"," Muricoccus","Healthy",0,0
"680"," MVP-88","Healthy",0,0
"681"," MWH-CFBk5","Healthy",7.34291755408885e-07,7.34291755408885e-07
"682"," Myceligenerans","Healthy",0,0
"683"," Mycobacterium","Healthy",1.23458099921874e-05,1.23458099921874e-05
"684"," Mycoplasma","Healthy",0.0336921008354455,0.0336921008354455
"685"," Myroides","Healthy",0.000441138115342083,0.000441138115342083
"686"," Myxococcaceae","Healthy",0,0
"687"," Nakamurella","Healthy",6.56296340665868e-06,6.56296340665868e-06
"688"," Nannocystaceae","Healthy",0,0
"689"," Nannocystis","Healthy",0,0
"690"," Negativibacillus","Healthy",3.89440597307396e-05,3.89440597307396e-05
"691"," Negativicoccus","Healthy",1.50836729045196e-07,1.50836729045196e-07
"692"," Neisseria","Healthy",0.00869620672588961,0.00869620672588961
"693"," Neisseriaceae","Healthy",0.0051299205501305,0.0051299205501305
"694"," Neochlamydia","Healthy",3.580743299646e-07,3.580743299646e-07
"695"," Nesterenkonia","Healthy",2.4607408016895e-06,2.4607408016895e-06
"696"," Niabella","Healthy",2.24239619297268e-06,2.24239619297268e-06
"697"," Nibribacter","Healthy",0,0
"698"," Nitratireductor","Healthy",2.35981821676689e-06,2.35981821676689e-06
"699"," Nitriliruptor","Healthy",1.92644264065199e-06,1.92644264065199e-06
"700"," Nitriliruptoraceae","Healthy",5.32652251623989e-07,5.32652251623989e-07
"701"," Nitrolancea","Healthy",4.62186767361757e-06,4.62186767361757e-06
"702"," Nitrosomonas","Healthy",0,0
"703"," Nitrososphaeraceae","Healthy",1.41579422280448e-06,1.41579422280448e-06
"704"," Nitrospira","Healthy",3.05776173064422e-06,3.05776173064422e-06
"705"," NK4A214_group","Healthy",0.000201201512888219,0.000201201512888219
"706"," Nocardia","Healthy",1.76413046450437e-07,1.76413046450437e-07
"707"," Nocardioidaceae","Healthy",1.12449033920058e-05,1.12449033920058e-05
"708"," Nocardioides","Healthy",0.000230109473529783,0.000230109473529783
"709"," Nocardiopsis","Healthy",4.12534760716493e-05,4.12534760716493e-05
"710"," Nosocomiicoccus","Healthy",0.000459908043616835,0.000459908043616835
"711"," Noviherbaspirillum","Healthy",0,0
"712"," Novosphingobium","Healthy",0.000163783119213481,0.000163783119213481
"713"," NS11-12_marine_group","Healthy",4.87403067714908e-07,4.87403067714908e-07
"714"," NS9_marine_group","Healthy",0,0
"715"," Nubsella","Healthy",8.81009176764177e-06,8.81009176764177e-06
"716"," Oblitimonas","Healthy",5.12540119117453e-06,5.12540119117453e-06
"717"," Oceanisphaera","Healthy",0.000177646912124711,0.000177646912124711
"718"," Oceanobacillus","Healthy",9.94316648823773e-05,9.94316648823773e-05
"719"," Oceanobacter","Healthy",1.42246593334758e-05,1.42246593334758e-05
