Name,ID,Status,State,Farm,Date.of.colleciton,RectaTemp,X16S.copies,Hscopy_log,HScopies,HSpre_abs,MBcopy_log,MBpre_abs,MBcopies,MHcopy_log,MHpre_abs,MHcopies,PMcopy_log,PMpre_abs,PMcopies,quality,HSRel,PMRel,MBRel,MHRel,BactABund,HSRelBact,PMRelBact,MBRelBact,MHRelBact,X16S_log
Beef 462,Beef462,BRD,IN,Farm3,8/12/20,104.8,382729160.2,5.821159291,662459.4369,1,3.844730596,1,6994.08,5.435156289,1,272368.13,5.465623357,1,292161.75,Clean,0.001730883,0.000763364,1.83E-05,0.000711647,1233983.397,0.536846313,0.236763113,0.005667888,0.220722686,8.582891554
Beef 463,Beef463,Healthy,IN,Farm3,8/12/20,103.4,261069571.4,3.943341623,8776.909557,1,3.884128972,1,7658.24,2.702215059,1,503.75,5.42137127,1,263858.61,Clean,3.36E-05,0.001010683,2.93E-05,1.93E-06,280797.5096,0.031257078,0.939675749,0.027273176,0.001793997,8.416756258
Beef 464,Beef464,Healthy,IN,Farm3,8/12/20,103.1,367019824.6,3.516701128,3286.253999,1,2.826074803,0,670,3.895976388,1,7870.03,5.835667043,1,684962.89,Clean,8.95E-06,0.001866283,1.83E-06,2.14E-05,696789.174,0.004716282,0.983027457,0.000961553,0.011294708,8.564689525
Beef 465,Beef465,BRD,IN,Farm3,8/12/20,106.3,455582882.2,3.824503169,6675.797726,1,2.826074803,0,670,5.373422974,1,236277.83,3.298612948,1,1988.9,Clean,1.47E-05,4.37E-06,1.47E-06,0.000518628,245612.5277,0.0271802,0.008097714,0.002727874,0.961994212,8.658567399
Beef 466,Beef466,Healthy,IN,Farm3,8/12/20,102.7,96727958.04,5.115102827,130347.5362,1,3.107738944,1,1281.56,5.499261169,1,315690.25,5.967100792,1,927044.95,Clean,0.001347568,0.009584043,1.32E-05,0.003263692,1374364.296,0.094842056,0.674526363,0.000932475,0.229699106,7.985552024
Beef 467,Beef467,Healthy,IN,Farm3,8/12/20,103.2,65978606.24,3.68868189,4882.945648,1,2.826074803,0,670,4.300830826,1,19990.83,5.699240321,1,500311.31,Clean,7.40E-05,0.007582932,1.02E-05,0.00030299,525855.0856,0.009285725,0.951424306,0.001274115,0.038015854,7.819403144
Beef 468,Beef468,BRD,IN,Farm3,8/12/20,103.5,24431129.62,4.064638983,11604.83535,1,2.826074803,0,670,2.230448921,0,170,4.82041632,1,66132.71,Clean,0.000475002,0.002706903,2.74E-05,6.96E-06,78577.54535,0.147686407,0.841623516,0.008526609,0.002163468,7.387943566
Beef 469,Beef469,BRD,IN,Farm3,8/12/20,103.3,106366196.9,6.639177147,4356895.539,1,4.905736316,1,80488.96,3.965516368,1,9236.69,5.175210167,1,149695.99,Clean,0.04096128,0.001407364,0.000756716,8.68E-05,4596317.179,0.947910114,0.032568681,0.01751162,0.002009585,8.026803635
Beef 47,Beef47,BRD,TX,Farm1,3/15/21,104.4,99482.13,7.29877509,19896426.85,1,5.274496443,1,188146.6296,2.993951897,1,986.17025,5.307178541,1,202851.6484,Clean,200.0000085,2.039076248,1.891260567,0.009913039,20288411.3,0.980679392,0.0099984,0.009273601,4.86E-05,4.997749441
Beef 470,Beef470,Healthy,IN,Farm3,8/19/20,NA,75353998.72,3.313599329,2058.729695,1,2.826074803,0,670,2.230448921,0,170,3.143929292,1,1392.93,Clean,2.73E-05,1.85E-05,8.89E-06,2.26E-06,4291.659695,0.479704786,0.324566741,0.156116758,0.039611715,7.877106309
Beef 471,Beef471,Healthy,IN,Farm3,8/19/20,NA,6332889.16,4.522749504,33323.41517,1,2.826074803,0,670,4.280271661,1,19066.53,5.390374258,1,245682.52,Clean,0.005261961,0.038794698,0.000105797,0.003010716,298742.4652,0.111545626,0.822389009,0.002242734,0.063822631,6.801601956
Beef 472,Beef472,BRD,IN,Farm3,8/19/20,104.4,356912279.6,5.720128571,524962.8508,1,3.559111486,1,3623.36,5.012046258,1,102812.58,5.676172043,1,474429.89,Clean,0.001470846,0.001329262,1.02E-05,0.000288061,1105828.681,0.47472349,0.429026574,0.003276602,0.092973335,8.552561491
Beef 473,Beef473,Healthy,IN,Farm3,8/19/20,103.3,344104019.4,4.841380528,69403.36503,1,2.826074803,0,670,4.509851596,1,32348.31,6.461880039,1,2896543.39,Clean,0.000201693,0.008417639,1.95E-06,9.40E-05,2998965.065,0.023142439,0.96584766,0.00022341,0.010786491,8.536689747
