# Constructed from biom file																																																																																																					
#OTU ID	Dairy101	Dairy102	Dairy103	Dairy104	Dairy105	Dairy106	Dairy107	Dairy108	Dairy109	Dairy110	Dairy111	Dairy112	Dairy113	Dairy114	Dairy115	Dairy116	Dairy117	Dairy118	Dairy119	Dairy120	Dairy121	Dairy122	Dairy123	Dairy124	Dairy125	Dairy126	Dairy127	Dairy128	Dairy129	Dairy130	Dairy131	Dairy132	Dairy133	Dairy134	Dairy135	Dairy136	Dairy137	Dairy138	Dairy139	Dairy140	Dairy141	Dairy142	Dairy143	Dairy144	Dairy145	Dairy146	Dairy147	Dairy148	Dairy149	Dairy150	Dairy151	Dairy152	Dairy153	Dairy154	Dairy155	Dairy156	Dairy157	Dairy158	Dairy159	Dairy160	Dairy161	Dairy162	Dairy163	Dairy164	Dairy165	Dairy166	Dairy167	Dairy168	Dairy169	Dairy170	Dairy171	Dairy172	Dairy173	Dairy174	Dairy177	Dairy178	Dairy179	Dairy180	Dairy181	Dairy182	Dairy183	Dairy184	Dairy185	Dairy186	Dairy187	Dairy188	Dairy189	Dairy190	Dairy191	Dairy192	Dairy193	Dairy194	Dairy195	Dairy196	Dairy197	Dairy198	Dairy199	Dairy200	Dairy201	Dairy202	Dairy203
ASV9334	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	0
ASV5188	884	1490	1587	32492	841	431	3618	27	336	2192	52	4410	59	586	20	932	24	33	371	859	0	4065	0	52	5700	162	204	620	1123	7487	4422	252	730	5696	1488	2899	313	5049	1609	907	740	8819	220	1207	1802	917	484	0	9354	3848	1649	498	40	63	2246	535	269	0	13	79	1203	1068	1489	0	197	0	214	3299	583	220	0	0	0	0	6	0	0	0	13	0	108	14	0	112	667	430	0	0	0	0	0	0	0	0	365	1059	0	0	16	0	0
ASV684	892	0	0	0	0	23416	0	12	5638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2492	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	395	55	0	0	0	0	0	0	0	902	463	0	285	694	27	188	288	0	278	0	16	75	0	0	0	0	0	0	38	24	0	0	0	55	0	0
ASV10026	0	0	0	0	0	0	0	0	18	28	0	14	0	0	0	109	0	0	0	0	0	0	0	17	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV9530	106	0	336	0	39	7	0	0	0	0	1824	0	0	0	0	0	0	1479	0	1458	1664	2	0	0	0	0	0	0	0	0	0	0	3	0	3082	0	8	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	479	0	0	1973	0	6	0	0	1092	0	0	728	0	0	197	0	0	0	0	0	0	0	0	0	0	0	79	0	0	24	0	40	0	0	19	0	0	0	0	0	0	0	0	0	0	0	24	0	0
ASV860	9	66	21	0	0	16	0	55	56	0	0	45	44	0	39	0	0	0	183	0	10	0	523	24	0	0	0	0	0	0	0	0	19	10	0	0	4	0	0	0	0	0	0	0	119	10	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	24	8	0	0	0	0	0	10	0	0	0	0	0	0	0	8	17	0	0	39	5	0	0	0	0	0	0	0
ASV3317	334	4	21	0	0	0	0	223	2752	4	33	0	189	1311	0	25	131	43	78	3	1205	2402	0	2268	0	0	6891	527	39	402	7	56	0	899	121	0	5	43	179	912	0	666	0	102	189	21	0	0	0	366	707	0	491	902	0	156	3716	254	0	0	51	0	0	388	3325	147	234	0	0	2075	0	0	0	0	146	254	0	55	108	0	17	0	0	0	0	0	31	17	0	6	0	0	0	44	57	0	32	58	220	180	116
ASV10027	276	2960	0	0	235	111	88	1293	780	0	49	49	61	123	21	28	7098	0	428	70	102	14	4242	383	108	5	176	80	0	178	9	51	111	56	15	0	5	0	0	183	211	37	0	127	685	52	85	0	0	23	390	0	7	18	354	381	146	0	5827	0	13	80	82	0	955	3	84	63	503	0	0	0	0	168	141	9	0	15	98	115	88	127	27	68	0	0	108	64	106	323	707	61	262	291	15	20	57	59	144	63	75
ASV6102	0	0	0	0	0	937	0	0	0	0	0	0	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV6513	168	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9318	2598	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	272	0	0	0	2519	0	0	0	0	0	0	0	75	246	0	0	0	0	0	0	0	0	67	0	0	0	97	0	17	0	0	0	0	0	48	4	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV8500	4	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
ASV1186	2124	0	15	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	1413	373	0	199	1165	42	1426	396	56	273	0	0	429	0	0	0	0	0	5273	139	77	0	0	0	472	36	0
ASV182	0	0	23	0	0	67	0	0	0	0	0	0	29	0	0	0	0	0	0	14	32	0	0	0	0	0	36	199	0	78	0	1342	14	18	0	0	10	0	0	16	0	0	0	69	0	0	20	0	0	0	0	0	0	0	12	16	307	0	0	0	0	0	0	7	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0
ASV5814	192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	40	0	0	153	0	0	94	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV10741	10	0	0	0	0	9	44	0	0	251	0	11	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	29	0	37	0	0	40	0	0	0	0	0	0	0	0	0	0	0	7	35	24	0	0	0	0	72	0	0	31	0	0	0	0	48	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
