# Constructed from biom file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#OTU ID,Dairy317,Dairy318,Dairy320,Dairy321,Dairy322,Dairy323,Dairy324,Dairy325,Dairy326,Dairy327,Dairy328,Dairy329,Dairy330,Dairy331,Dairy332,Dairy333,Dairy334,Dairy335,Dairy336,Dairy337,Dairy338,Dairy340,Dairy341,Dairy342,Dairy343,Dairy344,Dairy345,Dairy346,Dairy347,Dairy348,Dairy349,Dairy351,Dairy352,Dairy355,Dairy356,Dairy357,Dairy358,Dairy359,Dairy360,Dairy361,Dairy362,Dairy363,Dairy364,Dairy365,Dairy366,Dairy367,Dairy368,Dairy369,Dairy370,Dairy372,Dairy373,Dairy374,Dairy375,Dairy376,Dairy377,Dairy378,Dairy379,Dairy381,Dairy382,Dairy383,Dairy384,Dairy385,Dairy386,Dairy387,Dairy388,Dairy389,Dairy390,Dairy391,Dairy392,Dairy393,Dairy394,Dairy395,Dairy396,Dairy398,Dairy401,Dairy402,Dairy403,Dairy404,Dairy405,Dairy406,Dairy407,Dairy408,Dairy409,Dairy410,Dairy411,Dairy412,Dairy413,Dairy414,Dairy415,Dairy416,Dairy417,Dairy418,Dairy419,Dairy420,Dairy421
ASV5188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10026,11259,3421,0,0,964,0,0,0,0,0,9,0,1392,327,0,0,0,0,0,1180,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,21286,0,3576,0,0,401,0,222,1869,60,0,0,0,0,2089,4932,0,377,0,3824,0,0,0,809,0,0,2890,0,0,0,8214,4607,0,685,0,0,0,0,0,0,5977,36,0,7575,0,0,0,0,0,0,16306,0,2263,2218,2682,0,0,0,0,0
ASV9530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,613,173,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,2026,53,0,0,0,0,0,0,214,0,10462,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV860,0,0,0,704,0,0,0,0,0,0,0,34,0,0,41481,1137,685,0,0,0,0,34,0,0,0,0,0,0,0,0,22,11,1265,107,0,3,0,0,6,7,0,0,1255,0,0,0,0,5827,87,0,0,18991,873,0,0,0,28,502,8,2131,53,0,0,54,9170,0,0,48,0,5,0,5,0,6183,7,0,0,0,0,99,4,0,15,7153,0,21,0,0,12,0,12585,0,4393,0,6
ASV3317,161,0,71,0,0,5,0,0,0,223,0,169,0,0,0,0,5,82,200,314,0,6,0,0,0,313,284,23,0,0,0,0,5,34,0,0,108,0,0,1169,0,0,0,0,0,0,361,45,0,0,0,158,0,0,0,0,0,282,0,0,114,0,24,0,0,0,0,51,0,253,14,0,111,2,130,0,284,10,0,0,0,0,8,0,0,8,0,0,0,0,37,0,6,0,0
ASV10027,0,0,0,348,3,0,0,0,0,0,0,0,0,0,2364,0,871,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0,930,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25482,0,0,33419,0,3,0,14,0,89,5,4745,0,7,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,124,9,0,20,0,0,3,0,0,11,0,0,0,0,0,0
ASV6102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV6513,0,0,0,0,423,0,0,0,0,0,7,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,126,0,53,0,0,245,0,0,0,606,1306,0,0,0,1416,0,484,0,83,0,0,605,0,0,0,0,1727,0,746,0,0,0,0,0,0,1790,16,0,0,0,0,0,0,0,0,6176,999,0,459,972,0,0,0,0,0
ASV6471,26,0,0,5,0,0,3543,5,0,0,35,553,12552,136,2296,916,0,0,0,0,1180,0,2263,863,0,0,0,15,0,32,106,0,5,16,801,5792,39,47,3,0,975,8583,226,2156,5,24,14,0,0,346,856,183,76,16,8821,0,0,16,30,0,26,4229,0,7588,0,0,114,7,4070,11,0,326,0,0,5,187,473,130,193,0,13845,5608,256,4,0,894,286,0,46,3279,9,364,7,133,0
